Localidad,Estudiantes,Latitud,Longitud
Chapinero,268,4.648283,-74.030012
Engativá,115,4.648283,-74.146295
Fontibón,146,4.683132,-74.118
Suba,386,4.693419,-74.103209
Engativá,366,4.648283,-74.057005
Engativá,328,4.678601,-74.118
Engativá,343,4.748477,-74.030012
Suba,330,4.678601,-74.118
Suba,316,4.693419,-74.030012
Suba,122,4.648283,-74.030012
Suba,420,4.678601,-74.146295
Chapinero,357,4.683132,-74.030012
Usaquén,311,4.748477,-74.118
Usaquén,336,4.648283,-74.146295
Suba,112,4.678601,-74.030012
Chapinero,174,4.683132,-74.146295
Chapinero,153,4.678601,-74.057005
Chapinero,338,4.648283,-74.057005
Engativá,311,4.678601,-74.057005
Chapinero,239,4.678601,-74.030012
Suba,458,4.683132,-74.146295
Usaquén,52,4.678601,-74.030012
Usaquén,227,4.678601,-74.030012
Engativá,308,4.648283,-74.057005
Chapinero,169,4.748477,-74.146295
Chapinero,84,4.683132,-74.118
Engativá,171,4.648283,-74.103209
Fontibón,327,4.748477,-74.057005
Chapinero,109,4.678601,-74.103209
Usaquén,447,4.648283,-74.103209
Chapinero,465,4.683132,-74.146295
Engativá,447,4.683132,-74.103209
Chapinero,64,4.693419,-74.118
Chapinero,171,4.683132,-74.118
Engativá,389,4.683132,-74.057005
Suba,96,4.683132,-74.103209
Engativá,247,4.748477,-74.146295
Engativá,190,4.693419,-74.103209
Chapinero,397,4.648283,-74.146295
Chapinero,419,4.678601,-74.030012
Suba,475,4.748477,-74.057005
Fontibón,164,4.693419,-74.057005
Usaquén,231,4.748477,-74.118
Engativá,497,4.748477,-74.030012
Usaquén,408,4.683132,-74.118
Chapinero,59,4.678601,-74.146295
Chapinero,361,4.683132,-74.030012
Fontibón,66,4.648283,-74.103209
Suba,257,4.693419,-74.146295
Chapinero,376,4.683132,-74.118
Usaquén,171,4.683132,-74.118
Chapinero,439,4.678601,-74.146295
Chapinero,412,4.683132,-74.057005
Usaquén,438,4.678601,-74.118
Engativá,206,4.683132,-74.030012
Suba,203,4.748477,-74.146295
Usaquén,424,4.683132,-74.103209
Fontibón,136,4.683132,-74.030012
Suba,402,4.693419,-74.118
Suba,128,4.683132,-74.057005
Chapinero,430,4.748477,-74.146295
Usaquén,401,4.693419,-74.146295
Suba,303,4.678601,-74.146295
Fontibón,435,4.683132,-74.030012
Fontibón,227,4.683132,-74.146295
Usaquén,266,4.683132,-74.057005
Suba,65,4.678601,-74.030012
Engativá,155,4.683132,-74.146295
Suba,428,4.678601,-74.118
Engativá,263,4.683132,-74.103209
Suba,129,4.748477,-74.057005
Fontibón,178,4.678601,-74.103209
Usaquén,442,4.693419,-74.146295
Chapinero,100,4.693419,-74.146295
Suba,53,4.693419,-74.118
Suba,54,4.678601,-74.030012
Usaquén,349,4.683132,-74.103209
Chapinero,475,4.748477,-74.118
Engativá,440,4.648283,-74.118
Suba,330,4.683132,-74.118
Engativá,419,4.748477,-74.030012
Suba,262,4.683132,-74.103209
Usaquén,431,4.693419,-74.103209
Chapinero,498,4.678601,-74.146295
Usaquén,246,4.678601,-74.103209
Usaquén,431,4.648283,-74.057005
Fontibón,478,4.648283,-74.118
Fontibón,302,4.683132,-74.030012
Usaquén,245,4.748477,-74.057005
Chapinero,411,4.678601,-74.146295
Suba,290,4.748477,-74.030012
Usaquén,494,4.748477,-74.146295
Usaquén,311,4.648283,-74.057005
Suba,303,4.648283,-74.030012
Engativá,68,4.683132,-74.103209
Fontibón,365,4.748477,-74.057005
Usaquén,345,4.678601,-74.057005
Engativá,434,4.693419,-74.057005
Engativá,426,4.693419,-74.146295
Engativá,436,4.648283,-74.103209
Usaquén,280,4.648283,-74.118
Engativá,150,4.648283,-74.030012
Fontibón,53,4.748477,-74.057005
Fontibón,93,4.748477,-74.057005
Fontibón,249,4.693419,-74.146295
Engativá,421,4.683132,-74.030012
Engativá,338,4.648283,-74.118
Chapinero,443,4.748477,-74.118
Fontibón,67,4.748477,-74.030012
Engativá,327,4.678601,-74.057005
Usaquén,279,4.648283,-74.146295
Chapinero,67,4.648283,-74.103209
Usaquén,463,4.693419,-74.057005
Suba,326,4.683132,-74.146295
Engativá,394,4.648283,-74.118
Suba,481,4.648283,-74.030012
Suba,429,4.648283,-74.057005
Usaquén,186,4.648283,-74.103209
Chapinero,494,4.748477,-74.118
Suba,493,4.648283,-74.103209
Suba,273,4.693419,-74.118
Suba,346,4.648283,-74.146295
Chapinero,357,4.678601,-74.146295
Chapinero,346,4.693419,-74.030012
Chapinero,435,4.678601,-74.030012
Chapinero,434,4.678601,-74.103209
Chapinero,375,4.693419,-74.030012
Suba,74,4.693419,-74.118
Engativá,281,4.683132,-74.057005
Chapinero,466,4.693419,-74.057005
Chapinero,333,4.693419,-74.146295
Engativá,82,4.678601,-74.057005
Usaquén,55,4.748477,-74.118
Chapinero,84,4.648283,-74.118
Suba,56,4.748477,-74.146295
Usaquén,75,4.648283,-74.103209
Fontibón,98,4.648283,-74.030012
Usaquén,367,4.693419,-74.030012
Suba,329,4.678601,-74.057005
Fontibón,478,4.683132,-74.118
Usaquén,461,4.693419,-74.057005
Fontibón,399,4.748477,-74.118
Suba,83,4.648283,-74.030012
Suba,212,4.648283,-74.146295
Fontibón,60,4.683132,-74.146295
Usaquén,289,4.648283,-74.146295
Chapinero,252,4.683132,-74.030012
Usaquén,306,4.693419,-74.146295
Usaquén,180,4.648283,-74.146295
Chapinero,153,4.683132,-74.030012
Usaquén,424,4.648283,-74.118
Suba,128,4.748477,-74.057005
Chapinero,169,4.683132,-74.030012
Engativá,234,4.693419,-74.030012
Suba,96,4.648283,-74.146295
Suba,125,4.648283,-74.118
Usaquén,365,4.648283,-74.118
Fontibón,109,4.678601,-74.118
Usaquén,142,4.648283,-74.118
Usaquén,329,4.693419,-74.118
Suba,465,4.648283,-74.118
Usaquén,100,4.693419,-74.118
Usaquén,69,4.683132,-74.030012
Usaquén,485,4.683132,-74.057005
Engativá,305,4.693419,-74.057005
Suba,357,4.683132,-74.030012
Suba,116,4.748477,-74.118
Engativá,255,4.683132,-74.118
Fontibón,497,4.648283,-74.030012
Suba,108,4.693419,-74.146295
Suba,307,4.748477,-74.146295
Chapinero,80,4.648283,-74.146295
Usaquén,457,4.683132,-74.146295
Engativá,391,4.693419,-74.146295
Chapinero,291,4.683132,-74.118
Chapinero,179,4.693419,-74.146295
Chapinero,54,4.683132,-74.057005
Engativá,116,4.683132,-74.030012
Fontibón,404,4.648283,-74.103209
Fontibón,177,4.693419,-74.030012
Usaquén,63,4.648283,-74.057005
Chapinero,326,4.693419,-74.030012
Engativá,450,4.693419,-74.146295
Usaquén,183,4.678601,-74.030012
Engativá,261,4.693419,-74.103209
Engativá,339,4.748477,-74.118
Fontibón,236,4.678601,-74.146295
Chapinero,305,4.683132,-74.057005
Engativá,342,4.683132,-74.057005
Usaquén,337,4.748477,-74.118
Engativá,437,4.693419,-74.030012
Fontibón,394,4.648283,-74.118
Chapinero,240,4.683132,-74.030012
Chapinero,95,4.648283,-74.146295
Usaquén,264,4.693419,-74.057005
Usaquén,468,4.683132,-74.118
Chapinero,197,4.683132,-74.118
Engativá,256,4.678601,-74.146295
Engativá,338,4.748477,-74.103209
Usaquén,447,4.683132,-74.118
Fontibón,346,4.693419,-74.146295
Fontibón,253,4.693419,-74.146295
Engativá,430,4.748477,-74.146295
Suba,170,4.693419,-74.103209
Chapinero,142,4.648283,-74.103209
Engativá,488,4.748477,-74.146295
Suba,65,4.748477,-74.103209
Engativá,491,4.678601,-74.118
Fontibón,219,4.678601,-74.030012
Usaquén,77,4.648283,-74.103209
Engativá,180,4.683132,-74.057005
Usaquén,443,4.683132,-74.118
Suba,187,4.683132,-74.146295
Usaquén,122,4.678601,-74.118
Usaquén,383,4.693419,-74.103209
Engativá,91,4.693419,-74.146295
Usaquén,462,4.748477,-74.103209
Fontibón,482,4.693419,-74.118
Suba,255,4.748477,-74.057005
Fontibón,197,4.678601,-74.146295
Usaquén,175,4.693419,-74.118
Usaquén,188,4.678601,-74.103209
Suba,398,4.648283,-74.146295
Fontibón,393,4.683132,-74.030012
Usaquén,100,4.748477,-74.030012
Fontibón,462,4.648283,-74.118
Fontibón,319,4.748477,-74.030012
Engativá,381,4.648283,-74.103209
Fontibón,159,4.748477,-74.030012
Usaquén,462,4.748477,-74.146295
Usaquén,367,4.678601,-74.030012
Chapinero,303,4.678601,-74.146295
Fontibón,155,4.683132,-74.030012
Engativá,258,4.693419,-74.030012
Engativá,78,4.683132,-74.030012
Fontibón,188,4.748477,-74.146295
Suba,311,4.693419,-74.146295
Chapinero,343,4.748477,-74.057005
Suba,343,4.748477,-74.057005
Suba,331,4.748477,-74.118
Engativá,88,4.683132,-74.118
Engativá,205,4.678601,-74.103209
Fontibón,375,4.693419,-74.146295
Chapinero,466,4.678601,-74.103209
Fontibón,198,4.748477,-74.146295
Engativá,102,4.748477,-74.030012
Chapinero,192,4.693419,-74.103209
Chapinero,61,4.648283,-74.057005
Usaquén,155,4.648283,-74.103209
Chapinero,297,4.683132,-74.118
Fontibón,186,4.748477,-74.030012
Fontibón,209,4.648283,-74.030012
Engativá,485,4.693419,-74.103209
Usaquén,270,4.683132,-74.030012
Chapinero,322,4.683132,-74.057005
Usaquén,252,4.693419,-74.030012
Suba,490,4.693419,-74.057005
Suba,97,4.683132,-74.146295
Fontibón,345,4.678601,-74.146295
Fontibón,272,4.648283,-74.057005
Suba,81,4.748477,-74.057005
Chapinero,479,4.648283,-74.118
Suba,226,4.683132,-74.030012
Engativá,96,4.748477,-74.103209
Usaquén,228,4.648283,-74.118
Suba,396,4.748477,-74.118
Fontibón,468,4.683132,-74.103209
Fontibón,343,4.748477,-74.057005
Chapinero,417,4.748477,-74.118
Usaquén,435,4.678601,-74.103209
Usaquén,226,4.693419,-74.057005
Engativá,465,4.693419,-74.146295
Engativá,154,4.678601,-74.146295
Engativá,497,4.683132,-74.146295
Suba,229,4.693419,-74.030012
Fontibón,497,4.648283,-74.103209
Engativá,317,4.678601,-74.030012
Suba,302,4.683132,-74.057005
Usaquén,289,4.748477,-74.057005
Fontibón,201,4.648283,-74.146295
Usaquén,329,4.693419,-74.030012
Fontibón,319,4.678601,-74.118
Fontibón,103,4.678601,-74.103209
Suba,454,4.748477,-74.146295
Suba,471,4.693419,-74.146295
Engativá,484,4.678601,-74.057005
Usaquén,470,4.683132,-74.030012
Chapinero,123,4.693419,-74.030012
Fontibón,119,4.648283,-74.057005
Engativá,76,4.683132,-74.146295
Engativá,165,4.693419,-74.146295
Fontibón,338,4.648283,-74.057005
Suba,243,4.748477,-74.146295
Engativá,389,4.748477,-74.118
Chapinero,360,4.678601,-74.146295
Engativá,240,4.678601,-74.146295
Suba,465,4.683132,-74.030012
Usaquén,82,4.678601,-74.103209
Fontibón,210,4.678601,-74.030012
Usaquén,362,4.648283,-74.057005
Engativá,334,4.683132,-74.103209
Usaquén,389,4.683132,-74.118
Engativá,379,4.648283,-74.146295
Engativá,147,4.748477,-74.103209
Usaquén,391,4.693419,-74.118
Chapinero,57,4.683132,-74.057005
Fontibón,210,4.693419,-74.118
Suba,487,4.693419,-74.103209
Usaquén,360,4.648283,-74.146295
Fontibón,188,4.678601,-74.103209
Chapinero,280,4.648283,-74.030012
Chapinero,462,4.678601,-74.030012
Fontibón,136,4.678601,-74.103209
Suba,220,4.683132,-74.146295
Suba,459,4.648283,-74.146295
Usaquén,133,4.748477,-74.146295
Usaquén,496,4.748477,-74.030012
Suba,401,4.648283,-74.146295
Usaquén,269,4.693419,-74.103209
Chapinero,398,4.683132,-74.118
Engativá,302,4.648283,-74.030012
Suba,409,4.678601,-74.057005
Fontibón,329,4.678601,-74.030012
Suba,272,4.683132,-74.146295
Usaquén,442,4.648283,-74.118
Engativá,250,4.648283,-74.118
Suba,245,4.693419,-74.146295
Usaquén,376,4.648283,-74.118
Fontibón,493,4.748477,-74.057005
Suba,66,4.693419,-74.146295
Suba,488,4.748477,-74.118
Usaquén,335,4.748477,-74.118
Engativá,183,4.683132,-74.057005
Usaquén,217,4.693419,-74.103209
Suba,459,4.648283,-74.146295
Chapinero,241,4.678601,-74.103209
Engativá,437,4.693419,-74.146295
Engativá,354,4.648283,-74.030012
Fontibón,494,4.748477,-74.118
Usaquén,91,4.748477,-74.103209
Fontibón,329,4.693419,-74.030012
Engativá,256,4.748477,-74.118
Usaquén,246,4.683132,-74.030012
Engativá,456,4.683132,-74.057005
Suba,409,4.683132,-74.103209
Engativá,473,4.648283,-74.057005
Chapinero,237,4.683132,-74.030012
Suba,242,4.648283,-74.057005
Usaquén,447,4.683132,-74.030012
Suba,461,4.683132,-74.030012
Usaquén,129,4.648283,-74.118
Engativá,233,4.748477,-74.030012
Chapinero,376,4.683132,-74.103209
Engativá,217,4.648283,-74.118
Usaquén,283,4.678601,-74.057005
Usaquén,262,4.748477,-74.146295
Chapinero,393,4.693419,-74.118
Fontibón,53,4.678601,-74.030012
Suba,311,4.648283,-74.103209
Engativá,362,4.748477,-74.146295
Engativá,424,4.748477,-74.030012
Chapinero,395,4.693419,-74.030012
Usaquén,184,4.678601,-74.030012
Fontibón,260,4.748477,-74.118
Fontibón,291,4.693419,-74.146295
Usaquén,377,4.648283,-74.057005
Chapinero,50,4.683132,-74.103209
Chapinero,355,4.748477,-74.118
Suba,435,4.748477,-74.146295
Usaquén,124,4.693419,-74.118
Engativá,134,4.648283,-74.057005
Engativá,401,4.678601,-74.057005
Suba,93,4.683132,-74.057005
Usaquén,163,4.748477,-74.118
Engativá,380,4.683132,-74.103209
Chapinero,248,4.748477,-74.030012
Chapinero,335,4.648283,-74.103209
Usaquén,374,4.693419,-74.057005
Usaquén,465,4.683132,-74.146295
Suba,436,4.678601,-74.030012
Engativá,471,4.693419,-74.118
Chapinero,109,4.678601,-74.146295
Fontibón,371,4.748477,-74.146295
Engativá,434,4.678601,-74.057005
Chapinero,149,4.678601,-74.030012
Suba,290,4.678601,-74.118
Usaquén,175,4.648283,-74.146295
Usaquén,148,4.748477,-74.118
Engativá,180,4.748477,-74.057005
Fontibón,194,4.678601,-74.146295
Engativá,153,4.683132,-74.103209
Engativá,264,4.748477,-74.103209
Usaquén,341,4.648283,-74.103209
Fontibón,238,4.648283,-74.057005
Fontibón,416,4.693419,-74.030012
Suba,444,4.683132,-74.118
Suba,184,4.683132,-74.118
Chapinero,349,4.678601,-74.057005
Fontibón,223,4.748477,-74.057005
Usaquén,322,4.748477,-74.103209
Chapinero,291,4.683132,-74.103209
Suba,396,4.748477,-74.103209
Suba,472,4.683132,-74.103209
Chapinero,174,4.683132,-74.030012
Fontibón,409,4.678601,-74.057005
Suba,351,4.683132,-74.057005
Engativá,323,4.683132,-74.103209
Usaquén,240,4.693419,-74.030012
Suba,456,4.748477,-74.057005
Engativá,83,4.683132,-74.057005
Usaquén,170,4.748477,-74.057005
Fontibón,374,4.683132,-74.103209
Fontibón,70,4.678601,-74.057005
Fontibón,90,4.678601,-74.146295
Chapinero,465,4.748477,-74.103209
Engativá,243,4.683132,-74.146295
Fontibón,426,4.693419,-74.118
Usaquén,104,4.683132,-74.118
Usaquén,87,4.748477,-74.118
Chapinero,252,4.748477,-74.057005
Suba,286,4.683132,-74.146295
Suba,250,4.693419,-74.118
Suba,127,4.748477,-74.103209
Usaquén,307,4.683132,-74.030012
Fontibón,452,4.748477,-74.118
Suba,452,4.648283,-74.103209
Suba,236,4.748477,-74.030012
Engativá,60,4.648283,-74.146295
Usaquén,351,4.678601,-74.146295
Suba,186,4.748477,-74.146295
Suba,263,4.748477,-74.030012
Chapinero,157,4.748477,-74.103209
Engativá,296,4.693419,-74.146295
Suba,333,4.648283,-74.103209
Suba,171,4.693419,-74.030012
Suba,390,4.693419,-74.030012
Fontibón,341,4.693419,-74.057005
Usaquén,386,4.693419,-74.146295
Suba,299,4.648283,-74.103209
Engativá,305,4.648283,-74.118
Suba,201,4.748477,-74.057005
Chapinero,497,4.648283,-74.103209
Usaquén,372,4.678601,-74.103209
Suba,151,4.648283,-74.118
Suba,234,4.678601,-74.146295
Usaquén,208,4.683132,-74.146295
Usaquén,53,4.693419,-74.030012
Suba,428,4.678601,-74.030012
Suba,300,4.678601,-74.030012
Usaquén,313,4.683132,-74.146295
Chapinero,65,4.693419,-74.146295
Engativá,190,4.648283,-74.057005
Engativá,299,4.693419,-74.103209
Fontibón,274,4.648283,-74.057005
Chapinero,391,4.678601,-74.030012
Usaquén,186,4.748477,-74.030012
Engativá,185,4.648283,-74.030012
Fontibón,144,4.748477,-74.030012
Fontibón,244,4.693419,-74.118
Usaquén,128,4.693419,-74.030012
Chapinero,482,4.678601,-74.030012
Suba,320,4.683132,-74.118
Fontibón,403,4.678601,-74.146295
Suba,478,4.683132,-74.030012
Usaquén,232,4.678601,-74.103209
Fontibón,373,4.648283,-74.146295
Suba,308,4.683132,-74.057005
Suba,301,4.748477,-74.146295
Usaquén,139,4.678601,-74.146295
Suba,215,4.748477,-74.118
Engativá,230,4.683132,-74.103209
Suba,285,4.748477,-74.057005
Fontibón,463,4.748477,-74.146295
Suba,296,4.693419,-74.103209
Fontibón,301,4.693419,-74.057005
Chapinero,272,4.648283,-74.057005
Engativá,312,4.683132,-74.057005
Chapinero,63,4.693419,-74.118
Chapinero,231,4.748477,-74.146295
Suba,309,4.678601,-74.118
Fontibón,82,4.683132,-74.146295
Engativá,442,4.648283,-74.030012
Suba,472,4.648283,-74.146295
Chapinero,127,4.748477,-74.057005
Suba,186,4.678601,-74.146295
Suba,314,4.693419,-74.146295
Chapinero,450,4.693419,-74.118
Engativá,437,4.693419,-74.103209
Suba,85,4.683132,-74.146295
Usaquén,429,4.748477,-74.103209
Engativá,289,4.748477,-74.146295
Usaquén,101,4.683132,-74.146295
Usaquén,281,4.693419,-74.057005
Suba,160,4.648283,-74.118
Chapinero,361,4.693419,-74.103209
Fontibón,188,4.693419,-74.057005
Engativá,270,4.648283,-74.030012
Engativá,404,4.678601,-74.057005
Suba,138,4.748477,-74.057005
Usaquén,156,4.748477,-74.030012
Usaquén,228,4.678601,-74.030012
Fontibón,177,4.683132,-74.103209
Suba,469,4.648283,-74.146295
Fontibón,288,4.678601,-74.057005
Chapinero,335,4.748477,-74.057005
Engativá,257,4.748477,-74.057005
Fontibón,451,4.678601,-74.146295
Suba,299,4.683132,-74.057005
Suba,297,4.648283,-74.030012
Suba,372,4.748477,-74.103209
Fontibón,276,4.678601,-74.103209
Fontibón,170,4.693419,-74.118
Usaquén,183,4.648283,-74.146295
Fontibón,133,4.693419,-74.146295
Usaquén,79,4.678601,-74.057005
Usaquén,53,4.693419,-74.118
Usaquén,69,4.648283,-74.030012
Fontibón,207,4.683132,-74.118
Engativá,137,4.678601,-74.118
Suba,395,4.648283,-74.057005
Fontibón,199,4.678601,-74.057005
Fontibón,363,4.648283,-74.103209
Chapinero,485,4.683132,-74.118
Chapinero,237,4.648283,-74.103209
Suba,148,4.678601,-74.103209
Usaquén,192,4.678601,-74.118
Suba,423,4.748477,-74.118
Suba,178,4.648283,-74.103209
Fontibón,487,4.748477,-74.057005
Engativá,116,4.748477,-74.146295
Fontibón,463,4.748477,-74.030012
Usaquén,406,4.648283,-74.030012
Usaquén,382,4.748477,-74.057005
Chapinero,215,4.693419,-74.103209
Fontibón,99,4.693419,-74.103209
Fontibón,56,4.648283,-74.030012
Engativá,105,4.678601,-74.118
Suba,465,4.678601,-74.146295
Engativá,70,4.648283,-74.118
Usaquén,215,4.678601,-74.118
Fontibón,216,4.683132,-74.030012
Engativá,280,4.648283,-74.118
Usaquén,192,4.748477,-74.057005
Chapinero,189,4.683132,-74.146295
Usaquén,460,4.678601,-74.103209
Usaquén,201,4.748477,-74.103209
Fontibón,154,4.678601,-74.118
Fontibón,203,4.693419,-74.057005
Fontibón,106,4.648283,-74.057005
Fontibón,452,4.748477,-74.118
Engativá,332,4.678601,-74.057005
Engativá,291,4.683132,-74.118
Usaquén,162,4.648283,-74.103209
Suba,183,4.748477,-74.103209
Suba,328,4.748477,-74.057005
Suba,56,4.648283,-74.118
Usaquén,243,4.678601,-74.057005
Chapinero,88,4.678601,-74.103209
Fontibón,282,4.683132,-74.030012
Chapinero,243,4.748477,-74.057005
Suba,477,4.748477,-74.103209
Fontibón,216,4.678601,-74.146295
Chapinero,242,4.683132,-74.118
Engativá,356,4.683132,-74.146295
Engativá,80,4.678601,-74.057005
Chapinero,396,4.648283,-74.118
Engativá,292,4.683132,-74.146295
Suba,193,4.648283,-74.118
Usaquén,368,4.648283,-74.118
Usaquén,186,4.678601,-74.057005
Engativá,493,4.678601,-74.030012
Usaquén,211,4.648283,-74.118
Suba,102,4.678601,-74.103209
Usaquén,316,4.693419,-74.030012
Engativá,161,4.693419,-74.146295
Usaquén,57,4.648283,-74.030012
Chapinero,393,4.683132,-74.030012
Chapinero,185,4.678601,-74.103209
Chapinero,228,4.748477,-74.146295
Fontibón,312,4.693419,-74.030012
Suba,140,4.683132,-74.103209
Fontibón,396,4.683132,-74.030012
Fontibón,490,4.693419,-74.146295
Usaquén,66,4.748477,-74.103209
Fontibón,220,4.683132,-74.103209
Engativá,223,4.748477,-74.146295
Suba,229,4.678601,-74.057005
Fontibón,390,4.683132,-74.146295
Fontibón,83,4.748477,-74.057005
Chapinero,337,4.683132,-74.030012
Usaquén,316,4.693419,-74.057005
Engativá,51,4.648283,-74.118
Chapinero,350,4.693419,-74.103209
Engativá,144,4.678601,-74.103209
Engativá,454,4.683132,-74.057005
Suba,211,4.748477,-74.146295
Chapinero,94,4.648283,-74.057005
Chapinero,250,4.678601,-74.146295
Chapinero,202,4.748477,-74.118
Engativá,114,4.748477,-74.118
Fontibón,422,4.678601,-74.118
Suba,136,4.748477,-74.103209
Engativá,235,4.683132,-74.146295
Usaquén,102,4.683132,-74.030012
Usaquén,467,4.648283,-74.030012
Engativá,378,4.693419,-74.118
Fontibón,466,4.693419,-74.057005
Suba,382,4.683132,-74.118
Usaquén,427,4.683132,-74.030012
Usaquén,363,4.648283,-74.030012
Fontibón,314,4.693419,-74.146295
Engativá,172,4.678601,-74.118
Usaquén,61,4.683132,-74.030012
Engativá,282,4.748477,-74.057005
Engativá,193,4.683132,-74.057005
Fontibón,283,4.748477,-74.103209
Chapinero,120,4.678601,-74.103209
Chapinero,203,4.693419,-74.146295
Suba,179,4.693419,-74.118
Chapinero,426,4.748477,-74.103209
Usaquén,100,4.693419,-74.103209
Fontibón,320,4.678601,-74.103209
Fontibón,407,4.683132,-74.146295
Fontibón,404,4.748477,-74.118
Engativá,277,4.678601,-74.030012
Usaquén,201,4.693419,-74.118
Engativá,326,4.683132,-74.118
Usaquén,327,4.678601,-74.030012
Suba,129,4.683132,-74.057005
Fontibón,159,4.683132,-74.146295
Fontibón,421,4.683132,-74.118
Engativá,223,4.683132,-74.103209
Fontibón,254,4.648283,-74.146295
Engativá,305,4.748477,-74.103209
Usaquén,241,4.693419,-74.030012
Chapinero,442,4.678601,-74.118
Suba,75,4.693419,-74.118
Usaquén,220,4.748477,-74.030012
Chapinero,449,4.648283,-74.103209
Fontibón,285,4.683132,-74.057005
Usaquén,118,4.678601,-74.103209
Engativá,441,4.678601,-74.118
Fontibón,375,4.683132,-74.030012
Usaquén,102,4.648283,-74.103209
Suba,87,4.648283,-74.030012
Engativá,68,4.648283,-74.103209
Engativá,340,4.693419,-74.057005
Chapinero,349,4.648283,-74.030012
Usaquén,108,4.678601,-74.030012
Usaquén,252,4.683132,-74.030012
Usaquén,398,4.748477,-74.103209
Suba,384,4.683132,-74.146295
Suba,453,4.748477,-74.030012
Fontibón,309,4.683132,-74.057005
Engativá,268,4.683132,-74.103209
Fontibón,51,4.683132,-74.030012
Engativá,183,4.748477,-74.118
Fontibón,444,4.678601,-74.118
Chapinero,413,4.648283,-74.118
Fontibón,268,4.678601,-74.103209
Chapinero,92,4.648283,-74.146295
Chapinero,124,4.683132,-74.146295
Suba,262,4.748477,-74.103209
Engativá,171,4.748477,-74.146295
Suba,77,4.683132,-74.118
Fontibón,400,4.693419,-74.103209
Chapinero,204,4.693419,-74.146295
Engativá,391,4.748477,-74.030012
Engativá,157,4.678601,-74.030012
Usaquén,399,4.683132,-74.146295
Usaquén,107,4.678601,-74.057005
Suba,494,4.693419,-74.103209
Suba,478,4.748477,-74.146295
Suba,272,4.693419,-74.057005
Fontibón,82,4.693419,-74.057005
Chapinero,101,4.683132,-74.118
Chapinero,319,4.683132,-74.118
Usaquén,256,4.683132,-74.057005
Chapinero,448,4.683132,-74.057005
Engativá,171,4.748477,-74.146295
Usaquén,359,4.683132,-74.103209
Fontibón,120,4.678601,-74.146295
Engativá,142,4.693419,-74.146295
Suba,470,4.748477,-74.118
Suba,482,4.748477,-74.118
Chapinero,52,4.678601,-74.118
Engativá,335,4.683132,-74.030012
Chapinero,474,4.693419,-74.146295
Suba,221,4.683132,-74.057005
Usaquén,168,4.683132,-74.057005
Suba,163,4.648283,-74.103209
Fontibón,312,4.678601,-74.118
Suba,449,4.648283,-74.030012
Engativá,281,4.678601,-74.146295
Usaquén,271,4.678601,-74.103209
Suba,93,4.648283,-74.103209
Suba,308,4.693419,-74.030012
Chapinero,444,4.648283,-74.057005
Chapinero,235,4.678601,-74.057005
Suba,418,4.683132,-74.118
Chapinero,85,4.693419,-74.030012
Suba,433,4.693419,-74.103209
Chapinero,303,4.648283,-74.118
Engativá,211,4.683132,-74.103209
Chapinero,145,4.678601,-74.057005
Chapinero,157,4.678601,-74.103209
Engativá,332,4.648283,-74.057005
Suba,90,4.683132,-74.103209
Chapinero,247,4.678601,-74.030012
Chapinero,346,4.648283,-74.118
Suba,146,4.683132,-74.118
Suba,190,4.683132,-74.118
Chapinero,235,4.693419,-74.146295
Suba,483,4.648283,-74.057005
Engativá,217,4.748477,-74.118
Suba,403,4.693419,-74.118
Chapinero,487,4.648283,-74.057005
Suba,243,4.748477,-74.057005
Chapinero,130,4.683132,-74.057005
Chapinero,209,4.748477,-74.118
Fontibón,478,4.648283,-74.030012
Chapinero,111,4.693419,-74.118
Fontibón,190,4.693419,-74.057005
Suba,387,4.678601,-74.030012
Fontibón,480,4.683132,-74.030012
Engativá,367,4.678601,-74.057005
Usaquén,204,4.748477,-74.057005
Engativá,52,4.693419,-74.146295
Chapinero,312,4.678601,-74.057005
Engativá,446,4.748477,-74.057005
Engativá,198,4.683132,-74.057005
Engativá,470,4.693419,-74.103209
Usaquén,116,4.693419,-74.103209
Fontibón,326,4.678601,-74.057005
Engativá,265,4.678601,-74.146295
Chapinero,482,4.748477,-74.030012
Chapinero,457,4.648283,-74.118
Fontibón,76,4.693419,-74.103209
Engativá,263,4.748477,-74.057005
Suba,68,4.693419,-74.146295
Engativá,388,4.693419,-74.118
Engativá,103,4.693419,-74.057005
Fontibón,173,4.648283,-74.030012
Engativá,368,4.693419,-74.146295
Engativá,229,4.678601,-74.057005
Engativá,159,4.683132,-74.146295
Fontibón,197,4.693419,-74.057005
Chapinero,344,4.693419,-74.030012
Chapinero,452,4.693419,-74.030012
Engativá,345,4.678601,-74.118
Chapinero,121,4.748477,-74.146295
Usaquén,243,4.693419,-74.057005
Suba,377,4.748477,-74.118
Engativá,307,4.693419,-74.057005
Engativá,408,4.648283,-74.146295
Fontibón,406,4.648283,-74.146295
Suba,321,4.683132,-74.146295
Usaquén,209,4.748477,-74.030012
Engativá,63,4.648283,-74.030012
Chapinero,304,4.683132,-74.146295
Engativá,290,4.693419,-74.103209
Chapinero,140,4.683132,-74.103209
Chapinero,85,4.648283,-74.103209
Engativá,153,4.693419,-74.030012
Fontibón,347,4.748477,-74.146295
Usaquén,351,4.678601,-74.118
Suba,132,4.748477,-74.103209
Usaquén,447,4.648283,-74.103209
Suba,158,4.683132,-74.118
Usaquén,93,4.748477,-74.118
